Sr.No.,Jet Fuel_avi_BTU,Gasoline_avi_BTU,LDV_SWB_road_BTU,LDV_LWB_road_BTU,Combination_Truck_road_BTU,Bus_Road_BTU,Railways_BTU,Water_BTU,Natural_Gas_BTU,LDV_SWB_EFF,LDV_LWB_EFF,Passenger_Car_EFF,Domestic_EFF,Imported_EFF,Light_Truck_EFF,Passenger_Car_Age,Light_Truck_Age,Light_vehicle_Age,Demand_petroleum_transportation)mil_lit,Average_MC/15000_miles(dollars),CO2_emission_million_metric_tons,CO_emission_million_shots_tons,NOx_emission_million_shots_tons,particulate,SOx_emission_million_shots_tons,Volatile_compound_million_shots_tons,Overall_emission
1,263.79,29.0884,4952.283839688001,1481.134323554,800.864188,99.476522,475.750403,108.118847,359.916775,15.983485209256079,12.2261137120209,24.3,22.6,29.6,18.5,8.4,8.3,8.4,230005.240617636,2154.0,1290.801,204.042,26.882,13.022,31.218,34.659,0.0
2,525.015,35.0984,5980.980778,1481.134323554,800.864188,105.25025,493.472552,89.572412,519.043388,17.515865604612728,14.287840022769533,27.6,26.3,31.5,20.7,8.4,8.3,8.4,269470.995991224,2154.0,1290.801,204.042,26.882,13.022,31.218,34.659,0.0
3,1060.695,66.2302,8164.903979168001,1481.134323554,883.853949982,98.66062206199999,487.015645,112.515039,748.886142,20.324466118928257,16.134620950781546,28.0,26.9,29.9,20.8,8.4,8.3,8.4,339177.522046404,2154.0,1290.801,204.042,26.882,13.022,31.218,34.659,309.823
4,1020.33,49.5224,8931.556063575033,2295.1383976672582,1103.9218274606853,126.66633029799999,502.402317,150.844338,604.532631,21.199051639303363,16.992322720984472,28.4,27.3,30.1,21.3,8.4,8.3,8.4,389881.923381624,2154.0,1290.801,188.398,26.378,7.555,28.044,30.765,1571.941
5,1150.09647174,62.504,8442.341322520637,2862.3492496713743,1568.1689218802387,122.489519234,536.335424,203.049118,658.103014,21.045125755196853,17.270284553598483,27.9,27.0,29.2,20.8,8.4,8.3,8.4,396853.72485968395,3176.0,1397.368,185.408,27.08,7.013,25.926,31.107,1673.9019999999996
6,1365.5259671400001,50.6042,8624.481447582395,4002.0094730201836,1684.6380414581106,100.27957929237753,427.25491,233.408258285,522.405342,20.5904405983753,17.40324095638824,28.4,27.8,29.6,21.0,8.4,8.3,8.4,407271.87141408003,3484.0,1423.027,176.845,25.757,41.323,23.307,27.403,1717.6620000000003
7,1648.62517698,42.4306,8391.081005882206,4283.509657850689,1940.564436696687,107.66719179303126,427.941815,283.67005880199997,684.229192,20.804309761425465,17.3337580299994,28.3,27.5,29.7,20.8,8.4,8.3,8.4,430043.766811656,4954.0,1586.738,154.188,25.527,27.753,23.077,24.108,1841.3909999999998
8,1533.60153522,42.5508,7758.585752690131,4596.958615994538,2021.8421307539406,103.9232328804431,399.229186,281.090318384,623.553285,21.128875353245995,17.32348620428797,28.6,27.7,30.3,20.5,8.4,8.3,8.4,424806.49032235204,5601.0,1566.98,147.128,25.18,27.345,22.37485075,23.577,1812.58485075
9,1565.707168395,37.7428,7893.995665233374,4923.236416475617,2070.8718021525297,105.622054641831,412.829905,304.792387552,609.45527,21.319620506090427,17.31146995006355,28.5,28.1,29.6,20.8,8.4,8.3,8.4,434878.252751688,5824.0,1590.597,140.895,25.261,27.098,22.082,23.066,1828.999
10,1614.597453495,32.2136,8088.694486539812,5154.400249678764,2134.8319877917315,111.78356674532245,424.232528,296.02267141699997,647.407396,21.5,17.2,28.7,27.8,30.1,20.6,8.4,8.3,8.4,441299.58340212,5804.0,1603.874,135.902,25.356,27.364,21.773,22.73,1836.999
11,1687.57485075,31.9732,8145.937972216452,5343.4635667555485,2246.2170351340005,117.880761144,458.028254,300.77454282599996,710.720394,21.613375686842645,17.206426586210483,28.8,28.6,29.2,21.0,8.4,8.3,8.4,449392.24158796796,5916.0,1644.05,133.558,25.35,28.608,21.346,22.57,1875.4819999999997
12,1729.5817391100002,34.4974,8211.742595768737,5485.583396630523,2378.9178964033863,116.3951098618748,478.08588,321.33553281,726.247395,21.449703161351394,17.07612695784622,28.3,28.0,29.0,20.9,8.4,8.3,8.4,455205.835698036,6185.0,1678.552,126.778,24.955,25.82,18.619,22.042,1896.7659999999996
13,1780.2861440849997,34.6777,8311.152928870884,5669.401393390086,2417.523136542861,118.518655951908,491.686599,342.187633133,737.769502,21.902175382844323,17.43633994004965,28.5,28.7,28.3,21.3,8.5,8.3,8.5,464439.859953888,6389.0,1728.61,128.85813891,24.787361250000007,22.856997000000003,18.385268459999995,20.871235000000002,1944.36900062
14,1843.7796759149999,35.12244,8431.325199996001,5940.64948363,2442.009444198,123.482961308,491.137075,353.59121780000004,779.27439,22.136470705948263,17.62286273694816,28.8,28.7,29.0,20.9,8.7,8.5,8.6,470636.9617245,6723.0,1747.712,117.91014078,24.70495659,22.908629,18.839865219999997,19.530182999999997,1951.60577459
15,1795.92325119,37.41826,8648.676348554,6069.9022035,3026.151819992,125.13773581000001,492.236123,356.514135956,658.989649,21.974908646679772,17.494243220241437,29.0,29.1,28.8,21.4,8.9,8.5,8.8,484447.58315706,6908.0,1785.253,115.38010004,24.347759939999996,22.892668,18.94440807,18.781439,1985.5993750500002
16,1956.2175,41.51708,8825.640390038001,6347.589290802,3156.358528128,137.897434118,510.370415,332.370799016,669.195803,22.1600564746306,16.196939606414382,29.5,29.1,29.9,21.8,9.1,8.5,8.8,498846.77558902797,7050.0,1831.809,114.54126393399999,22.844743190000003,23.383384999999997,17.545485519000003,18.269942,2028.393819643
17,1876.9995,40.00256,8813.907092168001,6367.79709823,3087.223548198,133.762121724,508.3097,310.676415782,665.97177,22.544398515672704,16.19693960641438,29.491622052528175,29.9,28.7,21.5,9.1,8.4,8.9,499126.42668594,7363.0,1887.665,114.46663324599999,22.598433585,23.746877,16.346998165,17.512341999999997,2082.336283996
